,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,total_grades,total_grade_avg
0,0,1,18,1,1,0,4,4,0,4,0,0,2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,3,6,5,6,6,17,5.666666666666667
1,0,1,17,1,1,1,1,1,0,2,0,1,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,4,5,5,6,16,5.333333333333333
2,0,1,15,1,0,1,1,1,0,2,1,0,1,2,3,1,0,1,0,1,1,1,0,4,3,2,2,3,3,10,7,8,10,25,8.333333333333334
3,0,1,15,1,1,1,4,2,1,3,2,0,1,3,0,0,1,1,1,1,1,1,1,3,2,2,1,1,5,2,15,14,15,44,14.666666666666666
4,0,1,16,1,1,1,3,3,2,2,2,1,1,2,0,0,1,1,0,1,1,0,0,4,3,2,1,2,5,4,6,10,10,26,8.666666666666666
5,0,0,16,1,0,1,4,3,3,2,3,0,1,2,0,0,1,1,1,1,1,1,0,5,4,2,1,2,5,10,15,15,15,45,15.0
6,0,0,16,1,0,1,2,2,2,2,2,0,1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,12,12,11,35,11.666666666666666
7,0,1,17,1,1,0,4,4,2,4,2,0,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,6,6,5,6,17,5.666666666666667
8,0,0,15,1,0,0,3,2,3,2,2,0,1,2,0,0,1,1,0,1,1,1,0,4,2,2,1,1,1,0,16,18,19,53,17.666666666666668
9,0,0,15,1,1,1,3,4,2,2,2,0,1,2,0,0,1,1,1,1,1,1,0,5,5,1,1,1,5,0,14,15,15,44,14.666666666666666
10,0,1,15,1,1,1,4,4,4,1,3,0,1,2,0,0,1,1,0,1,1,1,0,3,3,3,1,2,2,0,10,8,9,27,9.0
11,0,1,15,1,1,1,2,1,3,2,3,1,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,4,10,12,12,34,11.333333333333334
12,0,0,15,1,0,1,4,4,1,3,0,1,1,1,0,0,1,1,1,1,1,1,0,4,3,3,1,3,5,2,14,14,14,42,14.0
13,0,0,15,1,1,1,4,3,4,2,0,0,2,2,0,0,1,1,0,1,1,1,0,5,4,3,1,2,3,2,10,10,11,31,10.333333333333334
14,0,0,15,1,1,0,2,2,2,2,2,2,1,3,0,0,1,0,0,1,1,1,1,4,5,2,1,1,3,0,14,16,16,46,15.333333333333334
15,0,1,16,1,1,1,4,4,1,2,2,0,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,4,14,14,14,42,14.0
16,0,1,16,1,1,1,4,4,3,3,3,0,1,3,0,0,1,1,1,1,1,1,0,3,2,3,1,2,2,6,13,14,14,41,13.666666666666666
17,0,1,16,1,1,1,3,3,2,2,3,0,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,4,8,10,10,28,9.333333333333334
18,0,0,17,1,1,1,3,2,3,3,0,0,1,1,3,0,1,0,1,1,1,1,0,5,5,5,2,4,5,16,6,5,5,16,5.333333333333333
19,0,0,16,1,0,1,4,3,1,2,2,1,1,1,0,0,0,1,1,1,1,1,0,3,1,3,1,3,5,4,8,10,10,28,9.333333333333334
20,0,0,15,1,1,1,4,3,4,2,3,0,1,2,0,0,0,0,0,1,1,1,0,4,4,1,1,1,1,0,13,14,15,42,14.0
21,0,0,15,1,1,1,4,4,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,5,4,2,1,1,5,0,12,15,15,42,14.0
22,0,0,16,1,0,1,4,2,4,2,0,0,1,2,0,0,0,0,1,1,1,1,0,4,5,1,1,3,5,2,15,15,16,46,15.333333333333334
23,0,0,16,1,0,1,2,2,2,2,3,0,2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,5,0,13,13,12,38,12.666666666666666
24,0,1,15,0,1,1,2,4,3,1,0,0,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,10,9,8,27,9.0
25,0,1,16,1,1,1,2,2,3,3,2,0,1,1,2,0,1,1,0,0,1,1,0,1,2,2,1,3,5,14,6,9,8,23,7.666666666666667
26,0,0,15,1,1,1,2,2,2,2,2,0,1,1,0,0,1,1,0,1,1,1,0,4,2,2,1,2,5,2,12,12,11,35,11.666666666666666
27,0,0,15,1,1,1,4,2,1,3,1,0,1,1,0,0,0,1,0,1,1,1,0,2,2,4,2,4,1,4,15,16,15,46,15.333333333333334
28,0,0,16,1,0,0,3,4,3,2,2,0,1,2,0,1,1,0,1,1,1,1,0,5,3,3,1,1,5,4,11,11,11,33,11.0
29,0,0,16,1,1,1,4,4,4,4,2,0,1,2,0,0,1,1,1,1,1,1,1,4,4,5,5,5,5,16,10,12,11,33,11.0
30,0,0,15,1,1,1,4,4,1,3,2,0,1,2,0,0,1,1,0,0,1,1,0,5,4,2,3,4,5,0,9,11,12,32,10.666666666666666
31,0,0,15,1,1,1,4,4,3,3,3,0,2,2,0,0,1,0,1,1,1,1,0,4,3,1,1,1,5,0,17,16,17,50,16.666666666666668
32,0,0,15,0,1,1,4,3,4,0,0,0,1,2,0,0,1,0,1,1,1,1,1,4,5,2,1,1,5,0,17,16,16,49,16.333333333333332
33,0,0,15,1,0,1,3,3,2,2,0,0,1,2,0,0,0,0,1,0,1,1,0,5,3,2,1,1,2,0,8,10,12,30,10.0
34,0,0,16,1,1,1,3,2,2,2,2,0,1,1,0,0,1,1,0,0,1,1,0,5,4,3,1,1,5,0,12,14,15,41,13.666666666666666
35,0,1,15,1,1,1,2,3,2,2,1,1,2,1,0,0,1,0,1,1,1,0,0,3,5,1,1,1,5,0,8,7,6,21,7.0
36,0,0,15,1,0,1,4,3,4,3,2,0,1,3,0,0,1,0,1,1,1,1,0,5,4,3,1,1,4,2,15,16,18,49,16.333333333333332
37,0,0,16,0,1,0,4,4,2,4,3,0,2,3,0,0,1,0,1,1,1,1,1,2,4,3,1,1,5,7,15,16,15,46,15.333333333333334
38,0,1,15,0,1,1,3,4,3,1,0,0,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,12,12,11,35,11.666666666666666
39,0,1,15,0,1,1,2,2,0,2,3,0,1,1,0,1,1,1,1,1,1,0,0,4,3,1,1,1,2,8,14,13,13,40,13.333333333333334
40,0,1,16,1,0,1,2,2,2,2,2,0,2,2,1,0,1,0,1,0,1,1,1,3,3,3,1,2,3,25,7,10,11,28,9.333333333333334
41,0,0,15,1,0,1,4,4,4,2,2,2,1,1,0,0,1,0,0,0,1,1,1,5,4,3,2,4,5,8,12,12,12,36,12.0
42,0,0,15,1,1,1,4,4,3,4,0,1,1,2,0,0,1,0,1,1,1,1,0,4,3,3,1,1,5,2,19,18,18,55,18.333333333333332
43,0,0,15,1,1,1,2,2,3,3,0,1,1,1,0,1,1,0,0,1,1,1,0,5,4,1,1,1,1,0,8,8,11,27,9.0
44,0,1,16,1,0,1,2,2,2,0,0,1,2,2,1,1,0,0,1,1,1,1,0,4,3,3,2,2,5,14,10,10,9,29,9.666666666666666
45,0,1,15,1,0,0,4,3,2,2,0,0,1,2,0,1,1,1,1,1,1,1,1,5,2,2,1,1,5,8,8,8,6,22,7.333333333333333
46,0,1,16,1,0,0,3,3,2,3,2,0,1,2,0,0,1,0,0,1,1,1,0,2,3,5,1,4,3,12,11,12,11,34,11.333333333333334
47,0,0,16,1,1,1,4,3,1,3,3,0,1,4,0,0,0,0,1,1,1,1,0,4,2,2,1,1,2,4,19,19,20,58,19.333333333333332
48,0,0,15,1,1,1,4,2,4,2,2,0,1,2,0,0,1,1,0,1,1,0,0,4,3,3,2,2,5,2,15,15,14,44,14.666666666666666
49,0,1,15,1,1,1,4,4,3,4,1,1,1,2,1,1,1,0,1,0,1,1,0,4,4,4,1,1,3,2,7,7,7,21,7.0
50,0,1,16,1,0,1,2,2,3,3,0,0,3,2,0,0,1,1,0,1,1,1,0,4,3,3,2,3,4,2,12,13,13,38,12.666666666666666
51,0,1,15,1,0,1,4,2,1,2,1,0,1,2,0,0,1,1,0,1,1,1,0,4,3,3,1,1,5,2,11,13,13,37,12.333333333333334
52,0,0,15,1,0,0,4,2,1,1,1,1,2,1,1,0,0,0,0,1,1,0,0,5,5,5,3,4,5,6,11,11,10,32,10.666666666666666
53,0,1,15,1,1,1,4,4,3,3,0,0,1,1,0,1,1,1,0,1,1,1,0,3,3,4,2,3,5,0,8,10,11,29,9.666666666666666
54,0,1,15,1,0,0,3,3,2,2,1,0,1,1,0,0,0,1,0,1,1,1,0,5,3,4,4,4,1,6,10,13,13,36,12.0
55,0,1,16,1,1,0,2,1,2,2,1,0,1,2,0,0,0,1,1,1,1,1,1,5,3,4,1,1,2,8,8,9,10,27,9.0
56,0,1,15,1,1,0,4,3,3,3,3,0,1,2,0,0,1,1,1,1,1,1,0,4,3,2,1,1,1,0,14,15,15,44,14.666666666666666
57,0,0,15,1,1,1,4,4,4,1,3,0,1,2,0,0,1,0,1,1,1,0,0,3,2,2,1,1,5,4,14,15,15,44,14.666666666666666
58,0,0,15,1,0,1,1,2,2,0,2,1,1,2,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,2,9,10,9,28,9.333333333333334
59,0,1,16,1,1,1,4,2,3,2,0,0,1,2,0,0,1,0,0,1,1,1,0,4,2,3,1,1,5,2,15,16,16,47,15.666666666666666
60,0,1,16,0,1,1,4,4,1,4,1,0,1,2,0,0,1,0,1,1,1,0,0,2,4,4,2,3,4,6,10,11,11,32,10.666666666666666
61,0,1,16,1,1,1,1,1,3,3,0,1,4,1,0,1,1,0,1,0,1,1,1,5,5,5,5,5,5,6,10,8,11,29,9.666666666666666
62,0,1,16,1,0,1,1,2,2,3,3,1,1,2,0,1,0,0,1,1,1,1,0,4,4,3,1,1,1,4,8,10,9,27,9.0
63,0,1,16,1,1,1,4,3,4,1,2,0,1,3,0,1,1,1,1,1,1,1,0,3,4,4,2,4,4,2,10,9,9,28,9.333333333333334
64,0,1,15,1,0,1,4,3,3,3,3,1,1,2,0,1,0,0,1,1,1,1,1,4,4,4,2,4,2,0,10,10,10,30,10.0
65,0,1,16,1,0,1,4,3,4,3,0,0,3,2,0,0,1,0,1,1,1,1,0,5,4,3,1,2,1,2,16,15,15,46,15.333333333333334
66,0,0,15,1,1,0,4,4,2,3,3,0,1,4,0,0,1,0,1,0,1,1,1,1,3,3,5,5,3,4,13,13,12,38,12.666666666666666
67,0,1,16,1,1,1,3,1,3,2,0,0,1,4,0,1,1,1,0,1,1,1,0,4,3,3,1,2,5,4,7,7,6,20,6.666666666666667
68,0,1,15,0,0,1,2,2,1,3,3,0,2,2,0,1,1,1,0,1,1,1,0,4,1,3,1,3,4,2,8,9,8,25,8.333333333333334
69,0,1,15,0,0,1,3,1,2,2,3,1,2,4,0,0,1,0,0,0,1,1,0,4,4,2,2,3,3,12,16,16,16,48,16.0
70,0,0,16,1,1,1,3,1,2,2,3,1,2,4,0,0,1,1,0,1,1,1,0,4,3,2,1,1,5,0,13,15,15,43,14.333333333333334
71,0,0,15,1,1,1,4,2,2,2,0,0,1,4,0,0,0,0,0,1,1,1,0,3,3,3,1,1,3,0,10,10,10,30,10.0
72,0,1,15,0,1,1,1,1,2,2,3,0,1,2,2,1,1,0,0,0,1,1,1,3,3,4,2,4,5,2,8,6,5,19,6.333333333333333
73,0,0,16,1,1,1,3,1,2,2,3,0,1,1,0,0,0,0,1,1,1,0,0,5,3,2,2,2,5,2,12,12,14,38,12.666666666666666
74,0,1,16,1,1,1,3,3,2,3,2,0,1,2,0,1,1,1,1,1,1,1,0,4,3,3,2,4,5,54,11,12,11,34,11.333333333333334
75,0,0,15,1,1,1,4,3,4,2,2,0,1,2,0,0,1,1,1,1,1,1,0,4,3,3,2,3,5,6,9,9,10,28,9.333333333333334
76,0,0,15,1,1,1,4,0,4,2,0,0,2,4,0,0,0,0,1,1,1,1,0,3,4,3,1,1,1,8,11,11,10,32,10.666666666666666
77,0,1,16,1,1,1,2,2,2,2,3,0,1,4,0,0,0,1,0,1,1,1,1,5,2,3,1,3,3,0,11,11,11,33,11.0
78,0,0,17,1,1,1,2,1,2,2,2,0,2,1,3,1,1,0,1,1,0,1,0,4,5,1,1,1,3,2,8,8,10,26,8.666666666666666
79,0,1,16,1,1,1,3,4,0,2,0,0,1,2,0,0,1,0,0,1,1,1,0,2,4,3,1,2,3,12,5,5,5,15,5.0
80,0,0,15,1,1,1,2,3,2,3,0,1,1,1,0,1,1,1,1,0,1,1,1,3,2,2,1,3,3,2,10,12,12,34,11.333333333333334
81,0,0,15,1,1,1,2,3,2,2,2,0,1,3,0,1,0,1,0,0,1,1,0,5,3,2,1,2,5,4,11,10,11,32,10.666666666666666
82,0,1,15,1,0,1,3,2,3,2,3,0,1,2,0,0,1,1,0,1,1,1,0,4,4,4,1,1,5,10,7,6,6,19,6.333333333333333
83,0,0,15,1,0,1,2,2,3,3,2,0,2,2,0,0,0,1,1,1,1,1,0,5,3,3,1,3,4,4,15,15,15,45,15.0
84,0,1,15,1,1,1,1,1,2,2,2,1,1,2,0,0,1,0,1,0,1,1,0,4,3,2,2,3,4,2,9,10,10,29,9.666666666666666
85,0,1,15,1,1,1,4,4,3,3,3,1,2,2,2,0,0,1,0,1,1,1,1,4,4,4,2,3,5,6,7,9,8,24,8.0
86,0,1,16,1,0,1,2,2,0,2,0,0,1,2,0,0,1,0,0,1,1,0,0,4,3,4,1,2,2,4,8,7,6,21,7.0
87,0,1,15,1,1,1,4,2,2,2,3,0,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,3,1,4,13,14,14,41,13.666666666666666
88,0,0,16,1,1,1,2,2,3,2,3,1,2,2,1,0,0,1,1,0,1,1,0,4,4,2,1,1,3,12,11,10,10,31,10.333333333333334
89,0,0,16,1,0,0,4,4,4,1,3,0,1,2,0,0,1,0,0,1,1,0,0,4,1,3,3,5,5,18,8,6,7,21,7.0
90,0,1,16,1,1,1,3,3,2,2,2,0,1,3,0,0,1,1,0,1,1,1,1,4,3,3,1,3,4,0,7,7,8,22,7.333333333333333
91,0,1,15,1,1,1,4,3,3,2,3,0,1,1,0,0,0,1,1,1,1,1,0,4,5,5,1,3,1,4,16,17,18,51,17.0
92,0,1,16,1,0,1,3,1,2,2,2,1,1,2,0,1,1,0,0,1,1,0,0,3,3,3,2,3,2,4,7,6,6,19,6.333333333333333
93,0,1,16,1,1,1,4,2,4,3,2,0,2,2,0,0,1,1,1,1,1,1,0,5,3,3,1,1,1,0,11,10,10,31,10.333333333333334
94,0,0,15,1,0,1,2,2,3,1,3,0,1,4,0,0,1,0,1,1,1,1,0,4,3,4,1,1,4,6,11,13,14,38,12.666666666666666
95,0,1,15,0,1,1,1,1,0,2,2,0,2,4,1,1,1,1,1,1,1,1,0,3,1,2,1,1,1,2,7,10,10,27,9.0
96,0,0,16,0,1,1,4,3,3,2,3,0,2,1,0,1,1,0,1,0,1,1,0,3,3,3,1,1,4,2,11,15,15,41,13.666666666666666
97,0,1,16,1,1,1,2,1,2,2,0,0,1,2,0,0,1,1,0,1,1,0,1,4,3,5,1,1,5,2,8,9,10,27,9.0
98,0,1,16,1,1,1,4,4,2,2,3,0,1,1,0,0,0,0,1,0,1,1,0,5,3,4,1,2,1,6,11,14,14,39,13.0
99,0,1,16,1,1,1,4,3,2,0,0,0,1,3,0,1,1,1,0,1,1,1,0,5,3,5,1,1,3,0,7,9,8,24,8.0
100,0,0,16,1,1,1,4,4,3,3,1,0,1,1,0,1,1,1,1,1,1,1,0,4,5,5,5,5,4,14,7,7,5,19,6.333333333333333
101,0,0,16,1,1,1,4,4,3,4,1,1,1,3,0,0,1,0,1,1,1,1,1,4,4,3,1,1,4,0,16,17,17,50,16.666666666666668
102,0,0,15,1,1,1,4,4,3,2,0,0,1,1,0,0,1,0,1,0,1,1,0,5,3,3,1,1,5,4,10,13,14,37,12.333333333333334
103,0,1,15,1,1,1,3,2,3,2,2,0,2,2,0,1,1,1,0,1,1,1,0,4,3,5,1,1,2,26,7,6,6,19,6.333333333333333
104,0,0,15,1,1,0,3,4,3,2,0,0,1,2,0,0,1,1,1,1,1,1,0,5,4,4,1,1,1,0,16,18,18,52,17.333333333333332
105,0,1,15,1,1,0,3,3,2,1,3,1,1,4,0,1,0,0,0,1,1,0,0,4,3,3,1,1,4,10,10,11,11,32,10.666666666666666
106,0,1,15,1,1,1,2,2,2,2,0,0,1,4,0,1,1,1,0,1,1,1,0,5,1,2,1,1,3,8,7,8,8,23,7.666666666666667
107,0,0,16,1,1,1,3,3,3,2,2,1,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,1,5,2,16,18,18,52,17.333333333333332
108,0,0,15,0,1,1,4,4,2,2,2,1,4,4,0,0,1,1,1,1,1,1,1,1,3,5,3,5,1,6,10,13,13,36,12.0
109,0,1,16,1,0,1,4,4,1,1,1,0,1,3,0,0,1,1,1,1,1,1,1,5,4,5,1,1,4,4,14,15,16,45,15.0
110,0,0,15,1,0,0,4,4,4,4,0,0,1,1,0,0,0,0,1,1,1,1,0,5,5,3,1,1,4,6,18,19,19,56,18.666666666666668
111,0,1,16,0,1,1,3,3,3,2,3,1,1,3,1,1,1,0,1,1,1,1,0,4,1,2,1,1,2,0,7,10,10,27,9.0
112,0,1,16,1,1,1,2,2,0,2,2,0,1,2,1,1,0,0,1,1,1,1,0,3,1,2,1,1,5,6,10,13,13,36,12.0
113,0,0,15,1,0,1,4,2,4,2,0,0,1,1,0,0,0,0,0,1,1,1,0,3,5,2,1,1,3,10,18,19,19,56,18.666666666666668
114,0,0,15,0,1,1,2,1,1,3,3,0,1,2,0,0,0,0,1,1,1,1,1,5,4,2,1,1,5,8,9,9,9,27,9.0
115,0,0,16,1,1,1,4,4,4,4,0,1,1,2,0,0,1,0,1,1,1,1,0,5,4,4,1,2,5,2,15,15,16,46,15.333333333333334
116,0,0,15,1,1,1,4,4,2,4,3,1,2,2,0,0,1,0,1,1,1,0,0,4,4,3,1,1,2,2,11,13,14,38,12.666666666666666
117,0,0,16,1,1,1,3,3,2,3,2,1,2,1,0,0,0,0,1,1,1,1,0,5,4,2,1,1,5,0,13,14,13,40,13.333333333333334
118,0,0,17,0,1,1,1,3,2,2,0,1,3,2,1,0,1,0,1,1,1,1,0,5,2,4,1,4,5,20,9,7,8,24,8.0
119,0,0,15,1,1,1,3,4,2,2,3,1,1,1,0,0,0,0,0,1,1,1,0,3,4,3,1,2,4,6,14,13,13,40,13.333333333333334
120,0,1,15,1,1,1,1,2,0,3,0,0,1,2,0,0,0,0,0,0,1,1,0,3,2,3,1,2,1,2,16,15,15,46,15.333333333333334
121,0,0,15,1,1,1,2,2,3,3,2,1,1,4,0,0,1,1,1,1,1,1,0,5,5,4,1,2,5,6,16,14,15,45,15.0
122,0,1,16,1,0,1,2,4,2,1,0,1,2,2,0,0,1,1,1,1,1,1,1,4,2,2,1,2,5,2,13,13,13,39,13.0
123,0,0,16,1,1,1,4,4,1,2,0,0,1,1,0,0,1,0,1,1,1,1,0,3,4,4,1,4,5,18,14,11,13,38,12.666666666666666
124,0,1,16,1,1,1,2,2,2,2,2,0,1,2,0,0,0,1,0,1,1,1,1,5,4,4,1,1,5,0,8,7,8,23,7.666666666666667
125,0,0,15,1,1,1,3,4,3,3,2,1,1,1,0,1,0,0,0,1,1,1,0,5,5,5,3,2,5,0,13,13,12,38,12.666666666666666
126,0,1,15,1,0,0,3,4,2,2,2,0,1,2,0,1,0,0,1,1,1,1,1,5,3,2,1,1,1,0,7,10,11,28,9.333333333333334
127,0,1,19,1,1,1,0,1,0,2,0,2,1,2,3,0,1,0,0,0,0,0,0,3,4,2,1,1,5,2,7,8,9,24,8.0
128,0,0,18,0,1,1,2,2,3,2,3,0,1,1,2,0,1,0,1,1,1,1,0,3,3,3,1,2,4,0,7,4,0,11,3.6666666666666665
129,0,0,16,0,1,1,4,4,4,4,0,0,1,1,0,0,0,1,1,1,1,1,0,3,5,5,2,5,4,8,18,18,18,54,18.0
